Table A.3. New asylum requests in OECD countries,,,,,,,,,,,
,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia, 15 745, 11 740, 8 965, 12 305, 27 685, 36 295, 28 840, 27 405, 19 220, 14 155, 19 305
Austria, 17 410, 17 500, 25 700, 85 520, 39 905, 22 470, 11 610, 11 010, 13 415, 37 830, 106 405
Belgium, 18 450, 12 080, 14 130, 39 065, 14 290, 14 055, 18 160, 23 140, 12 930, 19 605, 32 140
Canada, 20 230, 10 330, 13 655, 16 560, 23 620, 47 845, 55 375, 58 340, 19 045, 23 365, 94 375
Chile,  170,  245,  280,  615, 2 280, 5 635, 5 775,  770, 1 675, 2 500, 5 055
Colombia,  105,  225,  710,  405,  405,  610, 2 675, 10 620, 11 920, 15 940, 5 530
Costa Rica, 1 155, 1 120, 1 365, 2 190, 4 485, 6 320, 27 970, 59 180, 21 125, 108 425, 129 480
Czech Republic,  515,  500,  915, 1 240, 1 205, 1 140, 1 360, 1 575,  795, 1 060, 1 335
Denmark, 6 075, 7 230, 14 565, 20 855, 6 070, 3 140, 3 495, 2 645, 1 435, 2 015, 4 505
Estonia,  75,  95,  145,  225,  150,  180,  90,  100,  45,  75, 2 940
Finland, 2 920, 2 995, 3 495, 32 150, 5 295, 4 350, 2 955, 2 455, 1 455, 1 365, 4 835
France, 54 280, 60 475, 58 845, 70 570, 76 790, 91 965, 126 580, 138 290, 81 735, 103 810, 137 605
Germany, 64 540, 109 580, 173 070, 441 900, 722 365, 198 310, 161 930, 142 510, 102 580, 148 235, 217 775
Greece, 9 575, 7 860, 7 590, 11 370, 49 875, 56 950, 64 985, 74 915, 37 860, 22 660, 29 135
Hungary, 2 160, 18 570, 41 215, 174 435, 28 215, 3 120,  635,  470,  90,  40,  45
Iceland,  110,  170,  160,  360, 1 100, 1 065,  730,  805,  625,  865, 4 530
Ireland,  940,  940, 1 440, 3 270, 2 235, 2 910, 3 655, 4 740, 1 535, 2 615, 13 645
Israel, 1 985, 2 600,  225, 7 535, 15 045, 15 345, 16 260, 9 445, 1 885, 1 925, 3 915
Italy, 17 185, 25 720, 63 655, 82 790, 121 185, 126 560, 53 440, 35 005, 21 340, 45 200, 77 200
Japan, 2 530, 3 260, 4 995, 7 575, 10 900, 19 650, 10 495, 10 375, 3 935, 2 415, 3 770
Korea, 1 140, 1 570, 2 880, 5 690, 7 520, 9 925, 16 125, 15 430, 6 665, 2 330, 11 540
Latvia,  190,  185,  365,  330,  345,  355,  175,  180,  145,  580,  545
Lithuania,  560,  250,  385,  275,  415,  520,  385,  625,  260, 3 905,  905
Luxembourg, 2 000,  990, 1 030, 2 360, 2 065, 2 325, 2 225, 2 200, 1 295, 1 370, 2 395
Mexico,  805, 1 275, 1 510, 3 410, 8 760, 14 585, 29 610, 70 365, 41 205, 131 420, 118 735
Netherlands, 9 660, 9 815, 21 780, 43 035, 19 285, 16 090, 20 465, 22 540, 13 720, 24 755, 35 530
New Zealand,  300,  275,  270,  335,  380,  430,  425,  540,  435,  415,  335
Norway, 9 310, 11 475, 10 970, 30 505, 3 275, 3 385, 2 550, 2 205, 1 340, 1 615, 4 650
Poland, 9 175, 13 975, 5 610, 10 255, 9 785, 3 005, 2 405, 2 765, 1 510, 6 240, 7 700
Portugal,  290,  505,  445,  870,  710, 1 015, 1 240, 1 735,  900, 1 350, 1 980
Slovak Republic,  550,  290,  230,  270,  100,  155,  155,  215,  265,  330,  505
Slovenia,  260,  240,  355,  260, 1 265, 1 440, 2 800, 3 615, 3 465, 5 220, 6 645
Spain, 2 355, 4 290, 5 460, 14 610, 15 570, 33 040, 52 745, 115 190, 86 385, 62 065, 116 150
Sweden, 43 930, 49 355, 75 090, 156 195, 22 385, 22 225, 18 110, 23 150, 13 630, 10 180, 14 075
Switzerland, 25 965, 19 440, 22 130, 38 120, 25 875, 16 670, 13 535, 12 600, 9 765, 13 295, 23 130
Türkiye, 26 455, 44 795, 87 800, 133 305, 78 595, 126 050, 83 795, 56 415, 31 335, 29 255, 33 245
United Kingdom, 27 980, 29 875, 32 345, 39 970, 39 355, 34 435, 38 485, 44 315, 36 025, 56 465, 89 395
United States, 78 410, 84 400, 121 160, 172 740, 261 970, 331 700, 254 300, 301 070, 250 940, 188 860, 730 400
OECD, 475 490, 566 235, 824 935,1 663 470,1 650 755,1 275 265,1 136 545,1 288 950, 853 930,1 093 750,2 091 385
"Note: For details on definitions and sources, refer to the metadata at the end of the Tables B.3.",,,,,,,,,,,
